2970,'S Gravenwezel,Oui,Anvers
3700,'S Herenelderen,Oui,Limbourg
9420,Aaigem,Oui,Flandre-Orientale
8511,Aalbeke,Oui,Flandre-Occidentale
3800,Aalst,Oui,Limbourg
9300,AALST,Non,Flandre-Orientale
9880,AALTER,Non,Flandre-Orientale
3200,AARSCHOT,Non,Brabant Flamand
8700,Aarsele,Oui,Flandre-Occidentale
8211,Aartrijke,Oui,Flandre-Occidentale
2630,AARTSELAAR,Non,Anvers
4557,Abée,Oui,Liège
4280,Abolens,Oui,Liège
3930,Achel,Oui,Limbourg
5590,Achêne,Oui,Namur
5362,Achet,Oui,Namur
4219,Acosse,Oui,Liège
6280,Acoz,Oui,Hainaut
9991,Adegem,Oui,Flandre-Orientale
8660,Adinkerke,Oui,Flandre-Occidentale
1790,AFFLIGEM,Non,Brabant Flamand
9051,Afsnee,Oui,Flandre-Orientale
5544,Agimont,Oui,Namur
4317,Aineffe,Oui,Liège
5310,Aische-En-Refail,Oui,Namur
6250,Aiseau,Oui,Hainaut
6250,AISEAU-PRESLES,Non,Hainaut
5070,Aisemont,Oui,Namur
3570,ALKEN,Non,Limbourg
5550,Alle,Oui,Namur
4432,Alleur,Oui,Liège
1652,Alsemberg,Oui,Brabant Flamand
8690,ALVERINGEM,Non,Flandre-Occidentale
4540,AMAY,Non,Liège
6680,Amberloup,Oui,Luxembourg
4770,AMBLÈVE,Non,Liège
6953,Ambly,Oui,Luxembourg
4219,Ambresin,Oui,Liège
6997,Amonines,Oui,Luxembourg
7750,Amougies,Oui,Hainaut
4540,Ampsin,Oui,Liège
5300,ANDENNE,Non,Namur
1070,ANDERLECHT,Non,Bruxelles (19 communes)
6150,ANDERLUES,Non,Hainaut
4821,Andrimont,Oui,Liège
4031,Angleur,Oui,Liège
7387,Angre,Oui,Hainaut
7387,Angreau,Oui,Hainaut
5537,ANHÉE,Non,Namur
6721,Anlier,Oui,Luxembourg
6890,Anloy,Oui,Luxembourg
5537,Annevoie-Rouillon,Oui,Namur
4430,ANS,Non,Liège
5500,Anseremme,Oui,Namur
7750,Anseroeul,Oui,Hainaut
5520,Anthée,Oui,Namur
4520,Antheit,Oui,Liège
4160,ANTHISNES,Non,Liège
7640,ANTOING,Non,Hainaut
2000,ANTWERPEN,Non,Anvers
2018,ANTWERPEN,Non,Anvers
2020,ANTWERPEN,Non,Anvers
2030,ANTWERPEN,Non,Anvers
2040,ANTWERPEN,Non,Anvers
2050,ANTWERPEN,Non,Anvers
2060,ANTWERPEN,Non,Anvers
7910,Anvaing,Oui,Hainaut
8570,ANZEGEM,Non,Flandre-Occidentale
9200,Appels,Oui,Flandre-Orientale
9400,Appelterre-Eichem,Oui,Flandre-Orientale
5170,Arbre,Oui,Namur
7811,Arbre,Oui,Hainaut
4990,Arbrefontaine,Oui,Liège
7910,Arc-Ainières,Oui,Hainaut
7910,Arc-Wattripont,Oui,Hainaut
1390,Archennes,Oui,Brabant Wallon
8850,ARDOOIE,Non,Flandre-Occidentale
2370,ARENDONK,Non,Anvers
4601,Argenteau,Oui,Liège
6700,ARLON,Non,Luxembourg
7181,Arquennes,Oui,Hainaut
5060,Arsimont,Oui,Namur
6870,Arville,Oui,Luxembourg
3665,AS,Non,Limbourg
9404,Aspelare,Oui,Flandre-Orientale
9890,Asper,Oui,Flandre-Orientale
7040,Asquillies,Oui,Hainaut
1730,ASSE,Non,Brabant Flamand
8310,Assebroek,Oui,Flandre-Occidentale
9960,ASSENEDE,Non,Flandre-Orientale
6860,Assenois,Oui,Luxembourg
3460,Assent,Oui,Brabant Flamand
5330,ASSESSE,Non,Namur
9800,Astene,Oui,Flandre-Orientale
7800,ATH,Non,Hainaut
7387,Athis,Oui,Hainaut
6791,Athus,Oui,Luxembourg
3404,Attenhoven,Oui,Brabant Flamand
3384,Attenrode,Oui,Brabant Flamand
6717,ATTERT,Non,Luxembourg
7941,Attre,Oui,Hainaut
6790,AUBANGE,Non,Luxembourg
7972,Aubechies,Oui,Hainaut
4880,AUBEL,Non,Liège
5660,Aublain,Oui,Namur
6880,Auby-Sur-Semois,Oui,Luxembourg
1160,AUDERGHEM,Non,Bruxelles (19 communes)
7382,Audregnies,Oui,Hainaut
7040,Aulnois,Oui,Hainaut
6706,Autelbas,Oui,Luxembourg
1367,Autre-Eglise,Oui,Brabant Wallon
7387,Autreppe,Oui,Hainaut
5060,Auvelais,Oui,Namur
5580,Ave-Et-Auffe,Oui,Namur
8630,Avekapelle,Oui,Flandre-Occidentale
8580,AVELGEM,Non,Flandre-Occidentale
4260,Avennes,Oui,Liège
3271,Averbode,Oui,Brabant Flamand
4280,Avernas-Le-Bauduin,Oui,Liège
4280,Avin,Oui,Liège
4340,AWANS,Non,Liège
6870,Awenne,Oui,Luxembourg
4400,Awirs,Oui,Liège
6900,Aye,Oui,Luxembourg
4630,Ayeneux,Oui,Liège
4920,AYWAILLE,Non,Liège
9890,Baaigem,Oui,Flandre-Orientale
3128,Baal,Oui,Brabant Flamand
9310,Baardegem,Oui,Flandre-Orientale
2387,BAARLE-HERTOG,Non,Anvers
9200,Baasrode,Oui,Flandre-Orientale
9800,Bachte-Maria-Leerne,Oui,Flandre-Orientale
4837,BAELEN,Non,Liège
5550,Bagimont,Oui,Namur
6464,Baileux,Oui,Hainaut
6460,Bailièvre,Oui,Hainaut
5555,Baillamont,Oui,Namur
7730,Bailleul,Oui,Hainaut
5377,Baillonville,Oui,Namur
7380,Baisieux,Oui,Hainaut
1470,Baisy-Thy,Oui,Brabant Wallon
5190,Balâtre,Oui,Namur
9860,Balegem,Oui,Flandre-Orientale
2490,BALEN,Non,Anvers
9420,Bambrugge,Oui,Flandre-Orientale
6951,Bande,Oui,Luxembourg
6500,Barbençon,Oui,Hainaut
4671,Barchon,Oui,Liège
5570,Baronville,Oui,Namur
